"LONGITUDE","LATITUDE","p_avg","GEO3major","data","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
-102.0833359,34.3666649,8,"North America","train",1,9,262,150,4715,1105,2726,461,14,72,155,0,155,16,16
-102.0833359,34.3666649,30,"North America","train",1,9,262,150,4715,1105,2726,461,14,72,155,0,155,16,16
-100.2227783,24.3149719,7.7,"Latin America and the Caribbean","train",6,14,280,134,438,1805,3392,328,17,77,242,1,242,6,6
-100.2227783,24.3149719,40.1,"Latin America and the Caribbean","train",6,14,280,134,438,1805,3392,328,17,77,242,1,242,6,6
-100.0851135,24.3176384,3.1,"Latin America and the Caribbean","train",3,14,319,130,266,1866,3573,354,17,74,284,4,284,25,25
-100.0851135,24.3176384,5.5,"Latin America and the Caribbean","train",3,14,319,130,266,1866,3573,354,17,74,284,4,284,25,25
-100.0449982,23.746666,0.7,"Latin America and the Caribbean","train",3,14,301,130,228,1744,4468,402,18,71,302,4,302,6,6
-100.0449982,23.746666,4.1,"Latin America and the Caribbean","train",3,14,301,130,228,1744,4468,402,18,71,302,4,302,6,6
-99.8636093,23.5852776,0.3,"Latin America and the Caribbean","train",3,14,282,131,143,1744,4167,434,18,74,315,10,315,17,17
-99.8636093,23.5852776,5.1,"Latin America and the Caribbean","train",3,14,282,131,143,1744,4167,434,18,74,315,10,315,17,17
-99.7699738,34.5065842,97,"North America","train",3,9,327,152,2047,463,2591,619,17,73,162,0,162,16,16
-99.5501099,23.530695,0.3,"Latin America and the Caribbean","train",3,4,373,114,81,1437,7212,557,19,71,652,12,652,17,19
-99.5501099,23.530695,3.1,"Latin America and the Caribbean","train",3,4,373,114,81,1437,7212,557,19,71,652,12,652,17,19
-99.5403976,34.9969482,10,"North America","train",3,9,249,155,1344,502,2523,686,16,71,179,0,179,16,16
-99.5180054,34.7388802,0.3,"North America","train",3,9,339,156,651,451,2527,685,16,73,165,0,165,16,16
-99.5180054,34.7388802,2.9,"North America","train",3,9,339,156,651,451,2527,685,16,73,165,0,165,16,16
-99.4629593,34.9299126,17.8,"North America","train",1,9,258,155,1655,481,2458,700,16,69,169,1,169,16,16
-99.4629593,34.9299126,56.2,"North America","train",1,9,258,155,1655,481,2458,700,16,69,169,1,169,16,16
-99.4138641,34.7570839,52,"North America","train",1,9,205,157,1736,436,2820,701,16,70,164,0,164,16,16
-99.40728,34.6819992,20.2,"North America","train",1,9,205,157,1717,436,2820,701,16,70,164,0,164,16,16
-99.34231567,34.49843979,44,"North America","train",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
-99.3418884,34.4984169,6,"North America","train",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
-99.3418884,34.4984169,39,"North America","train",3,9,202,155,1729,406,2257,705,17,69,173,0,173,16,16
-99.331749,33.8911934,3,"North America","train",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
-99.3252563,33.8875885,2,"North America","train",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
-99.3252563,33.8875885,13,"North America","train",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
-99.2242813,34.4063606,27.2,"North America","train",1,9,258,158,2079,382,2082,689,17,71,179,0,179,16,16
-99.2179184,34.6972694,4,"North America","train",1,9,147,154,710,438,3429,716,16,70,202,0,202,16,16
-99.1638641,34.6394463,13,"North America","train",3,9,226,153,1135,411,2885,720,16,69,176,0,176,16,16
-99.1368866,34.458416,8.1,"North America","train",1,9,204,155,2195,393,3092,707,17,68,168,0,168,16,16
-99.1368866,34.458416,44.5,"North America","train",1,9,204,155,2195,393,3092,707,17,68,168,0,168,16,16
-99.1146088,34.5501404,26.2,"North America","train",1,9,181,153,1609,396,3097,714,17,67,172,0,172,16,16
-99.0660248,34.509388,2.3,"North America","train",1,9,176,155,1807,412,2774,721,17,67,172,0,172,16,16
-99.0660248,34.509388,18.2,"North America","train",1,9,176,155,1807,412,2774,721,17,67,172,0,172,16,16
-98.2016907,32.2525826,1,"North America","train",1,9,187,152,637,419,4184,795,18,67,335,1,335,19,19
-98.2016907,32.2525826,5,"North America","train",1,9,187,152,637,419,4184,795,18,67,335,1,335,19,19
-98.15522,32.1171684,1,"North America","train",6,9,239,155,521,385,3436,810,18,72,317,1,317,19,19
-98.0931091,32.207222,1,"North America","train",1,9,225,153,730,369,3544,802,18,73,416,1,416,19,19
-98.0912781,32.1195259,110,"North America","train",1,9,260,157,521,377,3873,808,18,73,292,1,292,16,16
-98.0739975,32.1279716,2,"North America","train",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
-98.0739975,32.1279716,6,"North America","train",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
-98.0736084,32.1280556,8,"North America","train",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
-98.0641251,27.2544537,0.8,"North America","train",1,8,97,158,577,34,4372,645,22,67,142,0,142,19,19
-98.0641251,27.2544537,5.9,"North America","train",1,8,97,158,577,34,4372,645,22,67,142,0,142,19,19
-98.0541611,27.3686943,1.4,"North America","train",1,8,90,159,1018,39,4907,649,22,67,162,0,162,16,16
-98.0471878,27.4119167,0.9,"North America","train",1,8,144,157,952,40,4728,654,22,70,173,0,173,16,16
-98.0471878,27.4119167,3.1,"North America","train",1,8,144,157,952,40,4728,654,22,70,173,0,173,16,16
-98.0465546,27.2963333,8.7,"North America","train",1,8,97,158,1018,34,4372,645,22,67,142,0,142,19,19
-98.0465546,27.2963333,20.7,"North America","train",1,8,97,158,1018,34,4372,645,22,67,142,0,142,19,19
-98.0272598,27.3751698,7.1,"North America","train",1,8,90,159,952,39,4907,649,22,67,162,0,162,16,16
-97.9951553,27.4154549,1.1,"North America","train",1,8,170,156,819,29,5089,663,22,70,177,0,177,16,16
-97.9951553,27.4154549,3.8,"North America","train",1,8,170,156,819,29,5089,663,22,70,177,0,177,16,16
-97.9791336,34.9597664,0.3,"North America","train",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
-97.9791336,34.9597664,0.5,"North America","train",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
-97.9791336,34.9597664,1.2,"North America","train",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
-97.9188919,27.262619,1.1,"North America","train",1,8,91,161,668,26,4776,652,22,66,137,0,137,16,16
-97.9153595,27.2812519,4.3,"North America","train",1,8,78,161,775,18,4086,658,22,66,189,0,189,16,30
-97.8448715,27.3204975,1.5,"North America","train",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
-97.8448715,27.3204975,3.9,"North America","train",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
-97.8378296,27.3275719,10,"North America","train",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
-97.7189178,26.3999443,11,"North America","train",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
-97.7161942,26.398777,3,"North America","train",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
-97.7143326,26.4004726,14,"North America","train",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
-97.7137756,26.3999176,22,"North America","train",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
-97.7122192,26.396389,38,"North America","train",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
-97.3252487,28.1150551,2,"North America","train",1,8,300,156,1491,12,5191,885,22,69,349,0,349,16,30
-97.3252487,28.1150551,7,"North America","train",1,8,300,156,1491,12,5191,885,22,69,349,0,349,16,30
-95.3887787,33.1031952,26.7,"North America","train",3,5,200,144,1912,151,4784,1114,17,55,305,1,305,19,19
-95.1767807,31.4832535,1.1,"North America","train",1,6,180,137,1682,93,1168,1089,19,52,305,1,305,19,19
-95.1767807,31.4832535,3.2,"North America","train",1,6,180,137,1682,93,1168,1089,19,52,305,1,305,19,19
-95.1450729,31.2929974,1,"North America","train",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
-95.1450729,31.2929974,1.6,"North America","train",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
-95.1450729,31.2929974,3.1,"North America","train",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
-94.7904663,31.5001659,5.3,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7904663,31.5001659,6.4,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7669678,31.5056133,0.8,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7669678,31.5056133,3.4,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7633057,31.5040283,0.9,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7633057,31.5040283,4.2,"North America","train",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
-94.7518616,32.2175827,3,"North America","train",3,6,102,138,1997,134,5668,1169,18,55,332,1,332,19,19
-94.7518616,32.2175827,9,"North America","train",3,6,102,138,1997,134,5668,1169,18,55,332,1,332,19,19
-94.5391693,32.1871643,13,"North America","train",3,6,143,140,1930,107,5814,1209,18,57,294,1,294,19,19
-94.5391693,32.1871643,23,"North America","train",3,6,143,140,1930,107,5814,1209,18,57,294,1,294,19,19
-94.5333328,33.213501,1,"North America","train",3,6,175,128,1611,108,5225,1204,17,52,362,1,362,19,19
-94.5333328,33.213501,7,"North America","train",3,6,175,128,1611,108,5225,1204,17,52,362,1,362,19,19
-94.4739304,32.3169899,1,"North America","train",3,6,144,137,1738,102,1234,1212,18,55,322,1,322,19,19
-94.348053,30.0669441,6,"North America","train",1,8,175,145,1439,13,7089,1413,20,54,380,0,380,30,30
-94.3352806,29.992775,1,"North America","train",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
-94.3352806,29.992775,6,"North America","train",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
-94.3352778,29.992775,5,"North America","train",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
-94.3339462,33.0318336,3,"North America","train",3,6,175,130,1836,102,3671,1207,17,53,358,1,358,19,19
-94.3339462,33.0318336,15,"North America","train",3,6,175,130,1836,102,3671,1207,17,53,358,1,358,19,19
-94.3305556,29.9774972,1,"North America","train",1,8,348,156,1920,11,12545,1407,20,55,510,0,510,30,30
-94.3305556,29.9774972,2,"North America","train",1,8,348,156,1920,11,12545,1407,20,55,510,0,510,30,30
-94.317276,32.8222504,1,"North America","train",3,6,125,135,1515,89,4466,1201,18,53,309,1,309,1,1
-94.3150024,33.2375832,1,"North America","train",3,6,214,128,1608,101,3196,1203,17,55,415,1,415,19,19
-94.3150024,33.2375832,5,"North America","train",3,6,214,128,1608,101,3196,1203,17,55,415,1,415,19,19
-94.2566528,31.484602,2.8,"North America","train",1,6,95,136,1728,107,4595,1241,18,54,293,1,293,1,1
-94.2566528,31.484602,23,"North America","train",1,6,95,136,1728,107,4595,1241,18,54,293,1,293,1,1
-94.2506,34.3475,4,"North America","train",3,5,129,130,1365,303,1848,1443,15,54,434,2,434,3,3
-94.2506,34.3475,7,"North America","train",3,5,129,130,1365,303,1848,1443,15,54,434,2,434,3,3
-94.2444153,33.0786095,1,"North America","train",1,6,166,134,1773,100,5719,1205,17,54,328,1,328,1,1
-94.2444153,33.0786095,2,"North America","train",1,6,166,134,1773,100,5719,1205,17,54,328,1,328,1,1
-94.2112198,30.5357494,2.1,"North America","train",1,6,82,137,1031,39,12560,1383,19,49,398,0,398,1,1
-94.1825027,31.0381451,1.3,"North America","train",3,6,124,137,1054,59,3478,1279,19,51,321,1,321,1,1
-94.1825027,31.0381451,1.5,"North America","train",3,6,124,137,1054,59,3478,1279,19,51,321,1,321,1,1
-94.1706085,31.5380383,1.2,"North America","train",3,6,132,135,1444,125,5626,1255,18,54,348,1,348,19,19
-94.1514,34.2131,5,"North America","train",3,5,115,131,1263,207,1425,1402,16,54,361,1,361,3,3
-94.1514,34.2131,13,"North America","train",3,5,115,131,1263,207,1425,1402,16,54,361,1,361,3,3
-94.1359,33.8213,8,"North America","train",5,6,171,136,1603,108,4785,1280,17,55,334,1,334,3,3
-94.1359,33.8213,14,"North America","train",5,6,171,136,1603,108,4785,1280,17,55,334,1,334,3,3
-94.0831833,31.5988865,4.1,"North America","train",3,6,142,133,1394,118,1111,1268,18,53,321,1,321,1,1
-94.0406,33.3465,5,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.0406,33.3465,8,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.02722,33.8992,9,"North America","train",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,19,19
-94.02722,33.8992,10,"North America","train",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,19,19
-94.0128,33.3571,3,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.0128,33.3571,7,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.0063,33.3625,1,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.0063,33.3625,4,"North America","train",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
-94.0056,33.8914,6,"North America","train",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,3,19
-94.0056,33.8914,10,"North America","train",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,3,19
-93.9877777,32.3488617,0.8,"North America","train",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
-93.9877777,32.3488617,1,"North America","train",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
-93.9877777,32.3488617,3,"North America","train",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
-93.9869,33.9183,5,"North America","train",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
-93.9869,33.9183,8,"North America","train",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
-93.9842,34.0344,7,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.9842,34.0344,10,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.9794,33.9489,4,"North America","train",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
-93.9794,33.9489,8,"North America","train",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
-93.9792,33.9544,46,"North America","train",1,6,151,141,1286,128,2503,1328,16,54,307,1,307,3,3
-93.9792,33.9544,50,"North America","train",1,6,151,141,1286,128,2503,1328,16,54,307,1,307,3,3
-93.9775,34.0867,13,"North America","train",1,6,114,135,1095,171,1497,1381,16,55,342,1,342,3,3
-93.9775,34.0867,14,"North America","train",1,6,114,135,1095,171,1497,1381,16,55,342,1,342,3,3
-93.9697,33.8539,13,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.9697,33.8539,20,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.9694,33.8556,9,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.9668503,31.530899,2.3,"North America","train",3,6,100,131,1390,107,4024,1285,18,53,322,1,322,19,19
-93.9668503,31.530899,3.8,"North America","train",3,6,100,131,1390,107,4024,1285,18,53,322,1,322,19,19
-93.9639,33.8283,5,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.9639,33.8283,14,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.9453,33.9208,13,"North America","train",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
-93.9448,33.0874,5,"North America","train",1,6,222,135,1833,96,5208,1213,17,54,320,1,320,1,19
-93.9448,33.0874,6,"North America","train",1,6,222,135,1833,96,5208,1213,17,54,320,1,320,1,19
-93.9257507,31.6192436,2.1,"North America","train",3,6,120,133,1430,106,6520,1278,18,52,326,1,326,19,19
-93.9257507,31.6192436,4,"North America","train",3,6,120,133,1430,106,6520,1278,18,52,326,1,326,19,19
-93.925,33.8111,8,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.925,33.8111,9,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.925,33.8111,72,"North America","train",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
-93.92,33.99,10.1,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.92,33.99,14.1,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.92,33.99,17.1,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.92,33.99,33.9,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.92,33.99,72.1,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.92,33.99,73.9,"North America","train",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
-93.9156,33.8233,10,"North America","train",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
-93.9156,33.8233,17,"North America","train",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
-93.9114,33.8192,8,"North America","train",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
-93.9114,33.8192,15,"North America","train",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
-93.9069,34.105,9,"North America","train",1,6,114,135,1058,171,1497,1381,16,55,342,1,342,3,3
-93.9067,34.1214,7,"North America","train",1,6,114,135,979,171,1497,1381,16,55,342,1,342,3,3
-93.9067,34.1214,15,"North America","train",1,6,114,135,979,171,1497,1381,16,55,342,1,342,3,3
-93.9042,33.7739,6,"North America","train",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
-93.9042,33.7739,13,"North America","train",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
-93.9035126,33.9457224,3,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,3,19
-93.9022,34.125,29,"North America","train",5,6,137,138,979,171,3986,1390,16,52,317,1,317,3,3
-93.9022,34.125,56,"North America","train",5,6,137,138,979,171,3986,1390,16,52,317,1,317,3,3
-93.8961,33.8119,8,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8961,33.8119,11,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8942,34.0683,3,"North America","train",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
-93.8942,34.0683,7,"North America","train",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
-93.8942,34.0683,10,"North America","train",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
-93.8897,33.8064,8,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8897,33.8064,29,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8872,33.7517,5,"North America","train",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
-93.8872,33.7517,9,"North America","train",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
-93.8847,33.9533,11,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
-93.8814,33.7897,7,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8814,33.7897,8,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8789,33.8661,8,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8789,33.8661,10,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8789,33.9386,14,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
-93.8789,33.9386,15,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
-93.8722,34.0367,29,"North America","train",10,6,160,142,1058,164,5704,1373,16,54,317,1,317,3,3
-93.8672,33.7622,5,"North America","train",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
-93.8667,33.8436,9,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8667,33.8436,17,"North America","train",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
-93.8617222,32.2783333,5.1,"North America","train",1,6,157,143,2137,73,6050,1266,18,54,286,1,286,19,19
-93.8617222,32.2783333,14.7,"North America","train",1,6,157,143,2137,73,6050,1266,18,54,286,1,286,19,19
-93.8583,33.6561,5,"North America","train",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
-93.8583,33.6561,8,"North America","train",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
-93.8539,33.6597,10,"North America","train",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
-93.8539,33.6597,15,"North America","train",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
-93.8439,33.6197,16,"North America","train",1,6,364,133,3421,88,3589,1251,17,58,339,0,339,19,19
-93.8439,33.6197,21,"North America","train",1,6,364,133,3421,88,3589,1251,17,58,339,0,339,19,19
-93.8403,33.9069,10,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
-93.8403,33.9069,12,"North America","train",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
-93.8264,34.0794,10,"North America","train",5,6,137,138,994,171,3986,1390,16,52,317,1,317,3,3
-93.8264,34.0794,13,"North America","train",5,6,137,138,994,171,3986,1390,16,52,317,1,317,3,3
-93.8219,33.5783,7,"North America","train",1,6,236,144,2315,80,3280,1223,17,62,283,0,283,19,19
-93.8219,33.5783,17,"North America","train",1,6,236,144,2315,80,3280,1223,17,62,283,0,283,19,19
-93.7979736,32.3712769,0.2,"North America","train",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
-93.7979736,32.3712769,0.3,"North America","train",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
-93.7979736,32.3712769,10,"North America","train",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
-93.7753,33.5844,5,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7753,33.5844,6,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7711,33.5503,41,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7711,33.5503,80,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7686,33.55,33,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7686,33.55,37,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7681,33.5953,6,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7681,33.5953,7,"North America","train",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
-93.7614746,34.0735016,1.2,"North America","train",1,6,144,136,994,159,4220,1400,16,53,362,1,362,3,3
-93.7614746,34.0735016,2.6,"North America","train",1,6,144,136,994,159,4220,1400,16,53,362,1,362,3,3
